Re;Stenosis length [cm];Radius [cm];Stenosis length/Radius;Degree of stenosis;Asymmetry;Pressure difference [dyn/cm^2]
30;0.75;0.15;5;0;1;97
50;0.75;0.15;5;0;1;156
100;0.75;0.15;5;0;1;314
200;0.75;0.15;5;0;1;623
300;0.75;0.15;5;0;1;939
400;0.75;0.15;5;0;1;1248
500;0.75;0.15;5;0;1;1562
600;0.75;0.15;5;0;1;1872
700;0.75;0.15;5;0;1;2186
800;0.75;0.15;5;0;1;2495
30;0.75;0.15;5;0;0.5;97
50;0.75;0.15;5;0;0.5;156
100;0.75;0.15;5;0;0.5;314
200;0.75;0.15;5;0;0.5;623
300;0.75;0.15;5;0;0.5;939
400;0.75;0.15;5;0;0.5;1248
500;0.75;0.15;5;0;0.5;1562
600;0.75;0.15;5;0;0.5;1872
700;0.75;0.15;5;0;0.5;2186
800;0.75;0.15;5;0;0.5;2495
30;0.75;0.15;5;0;0;97
50;0.75;0.15;5;0;0;156
100;0.75;0.15;5;0;0;314
200;0.75;0.15;5;0;0;623
300;0.75;0.15;5;0;0;939
400;0.75;0.15;5;0;0;1248
500;0.75;0.15;5;0;0;1562
600;0.75;0.15;5;0;0;1872
700;0.75;0.15;5;0;0;2186
800;0.75;0.15;5;0;0;2495
30;0.375;0.15;2.5;0;1;81
50;0.375;0.15;2.5;0;1;130
100;0.375;0.15;2.5;0;1;261
200;0.375;0.15;2.5;0;1;519
300;0.375;0.15;2.5;0;1;782
400;0.375;0.15;2.5;0;1;1039
500;0.375;0.15;2.5;0;1;1301
600;0.375;0.15;2.5;0;1;1558
700;0.375;0.15;2.5;0;1;1820
800;0.375;0.15;2.5;0;1;2077
30;0.375;0.15;2.5;0;0.5;81
50;0.375;0.15;2.5;0;0.5;130
100;0.375;0.15;2.5;0;0.5;261
200;0.375;0.15;2.5;0;0.5;519
300;0.375;0.15;2.5;0;0.5;782
400;0.375;0.15;2.5;0;0.5;1039
500;0.375;0.15;2.5;0;0.5;1301
600;0.375;0.15;2.5;0;0.5;1558
700;0.375;0.15;2.5;0;0.5;1820
800;0.375;0.15;2.5;0;0.5;2077
30;0.375;0.15;2.5;0;0;81
50;0.375;0.15;2.5;0;0;130
100;0.375;0.15;2.5;0;0;261
200;0.375;0.15;2.5;0;0;519
300;0.375;0.15;2.5;0;0;782
400;0.375;0.15;2.5;0;0;1039
500;0.375;0.15;2.5;0;0;1301
600;0.375;0.15;2.5;0;0;1558
700;0.375;0.15;2.5;0;0;1820
800;0.375;0.15;2.5;0;0;2077
30;1.5;0.15;10;0;1;130
50;1.5;0.15;10;0;1;211
100;1.5;0.15;10;0;1;429
200;1.5;0.15;10;0;1;858
300;1.5;0.15;10;0;1;1294
400;1.5;0.15;10;0;1;1722
500;1.5;0.15;10;0;1;2149
600;1.5;0.15;10;0;1;2562
700;1.5;0.15;10;0;1;2972
800;1.5;0.15;10;0;1;3366
30;1.5;0.15;10;0;0.5;130
50;1.5;0.15;10;0;0.5;211
100;1.5;0.15;10;0;0.5;429
200;1.5;0.15;10;0;0.5;858
300;1.5;0.15;10;0;0.5;1294
400;1.5;0.15;10;0;0.5;1722
500;1.5;0.15;10;0;0.5;2149
600;1.5;0.15;10;0;0.5;2562
700;1.5;0.15;10;0;0.5;2972
800;1.5;0.15;10;0;0.5;3366
30;1.5;0.15;10;0;0;130
50;1.5;0.15;10;0;0;211
100;1.5;0.15;10;0;0;429
200;1.5;0.15;10;0;0;858
300;1.5;0.15;10;0;0;1294
400;1.5;0.15;10;0;0;1722
500;1.5;0.15;10;0;0;2149
600;1.5;0.15;10;0;0;2562
700;1.5;0.15;10;0;0;2972
800;1.5;0.15;10;0;0;3366
30;2.25;0.15;15;0;1;163
50;2.25;0.15;15;0;1;266
100;2.25;0.15;15;0;1;540
200;2.25;0.15;15;0;1;1087
300;2.25;0.15;15;0;1;1657
400;2.25;0.15;15;0;1;2234
500;2.25;0.15;15;0;1;2828
600;2.25;0.15;15;0;1;3423
700;2.25;0.15;15;0;1;4032
800;2.25;0.15;15;0;1;4638
30;2.25;0.15;15;0;0.5;163
50;2.25;0.15;15;0;0.5;266
100;2.25;0.15;15;0;0.5;540
200;2.25;0.15;15;0;0.5;1087
300;2.25;0.15;15;0;0.5;1657
400;2.25;0.15;15;0;0.5;2234
500;2.25;0.15;15;0;0.5;2828
600;2.25;0.15;15;0;0.5;3423
700;2.25;0.15;15;0;0.5;4032
800;2.25;0.15;15;0;0.5;4638
30;2.25;0.15;15;0;0;163
50;2.25;0.15;15;0;0;266
100;2.25;0.15;15;0;0;540
200;2.25;0.15;15;0;0;1087
300;2.25;0.15;15;0;0;1657
400;2.25;0.15;15;0;0;2234
500;2.25;0.15;15;0;0;2828
600;2.25;0.15;15;0;0;3423
700;2.25;0.15;15;0;0;4032
800;2.25;0.15;15;0;0;4638
30;3;0.15;20;0;1;196
50;3;0.15;20;0;1;318
100;3;0.15;20;0;1;647
200;3;0.15;20;0;1;1302
300;3;0.15;20;0;1;1985
400;3;0.15;20;0;1;2677
500;3;0.15;20;0;1;3390
600;3;0.15;20;0;1;4105
700;3;0.15;20;0;1;4838
800;3;0.15;20;0;1;5567
30;3;0.15;20;0;0.5;196
50;3;0.15;20;0;0.5;318
100;3;0.15;20;0;0.5;647
200;3;0.15;20;0;0.5;1302
300;3;0.15;20;0;0.5;1985
400;3;0.15;20;0;0.5;2677
500;3;0.15;20;0;0.5;3390
600;3;0.15;20;0;0.5;4105
700;3;0.15;20;0;0.5;4838
800;3;0.15;20;0;0.5;5567
30;3;0.15;20;0;0;196
50;3;0.15;20;0;0;318
100;3;0.15;20;0;0;647
200;3;0.15;20;0;0;1302
300;3;0.15;20;0;0;1985
400;3;0.15;20;0;0;2677
500;3;0.15;20;0;0;3390
600;3;0.15;20;0;0;4105
700;3;0.15;20;0;0;4838
800;3;0.15;20;0;0;5567
30;4.5;0.15;30;0;1;261
50;4.5;0.15;30;0;1;425
100;4.5;0.15;30;0;1;863
200;4.5;0.15;30;0;1;1737
300;4.5;0.15;30;0;1;2648
400;4.5;0.15;30;0;1;3571
500;4.5;0.15;30;0;1;4524
600;4.5;0.15;30;0;1;5480
700;4.5;0.15;30;0;1;6462
800;4.5;0.15;30;0;1;7441
30;4.5;0.15;30;0;0.5;261
50;4.5;0.15;30;0;0.5;425
100;4.5;0.15;30;0;0.5;863
200;4.5;0.15;30;0;0.5;1737
300;4.5;0.15;30;0;0.5;2648
400;4.5;0.15;30;0;0.5;3571
500;4.5;0.15;30;0;0.5;4524
600;4.5;0.15;30;0;0.5;5480
700;4.5;0.15;30;0;0.5;6462
800;4.5;0.15;30;0;0.5;7441
30;4.5;0.15;30;0;0;261
50;4.5;0.15;30;0;0;425
100;4.5;0.15;30;0;0;863
200;4.5;0.15;30;0;0;1737
300;4.5;0.15;30;0;0;2648
400;4.5;0.15;30;0;0;3571
500;4.5;0.15;30;0;0;4524
600;4.5;0.15;30;0;0;5480
700;4.5;0.15;30;0;0;6462
800;4.5;0.15;30;0;0;7441
800;3;0.15;20;0.1;0;7747
30;0.75;0.15;5;0.1;1;109
50;0.75;0.15;5;0.1;1;178
100;0.75;0.15;5;0.1;1;365
200;0.75;0.15;5;0.1;1;750
300;0.75;0.15;5;0.1;1;1162
400;0.75;0.15;5;0.1;1;1584
500;0.75;0.15;5;0.1;1;2023
600;0.75;0.15;5;0.1;1;2466
700;0.75;0.15;5;0.1;1;2923
800;0.75;0.15;5;0.1;1;3381
30;0.75;0.15;5;0.1;0.5;109
50;0.75;0.15;5;0.1;0.5;177
100;0.75;0.15;5;0.1;0.5;364
200;0.75;0.15;5;0.1;0.5;747
300;0.75;0.15;5;0.1;0.5;1157
400;0.75;0.15;5;0.1;0.5;1577
500;0.75;0.15;5;0.1;0.5;2016
600;0.75;0.15;5;0.1;0.5;2459
700;0.75;0.15;5;0.1;0.5;2917
800;0.75;0.15;5;0.1;0.5;3368
30;0.75;0.15;5;0.1;0;107
50;0.75;0.15;5;0.1;0;174
100;0.75;0.15;5;0.1;0;356
200;0.75;0.15;5;0.1;0;730
300;0.75;0.15;5;0.1;0;1129
400;0.75;0.15;5;0.1;0;1542
500;0.75;0.15;5;0.1;0;1980
600;0.75;0.15;5;0.1;0;2430
700;0.75;0.15;5;0.1;0;2903
800;0.75;0.15;5;0.1;0;3358
30;0.375;0.15;2.5;0.1;1;87
50;0.375;0.15;2.5;0.1;1;142
100;0.375;0.15;2.5;0.1;1;291
200;0.375;0.15;2.5;0.1;1;595
300;0.375;0.15;2.5;0.1;1;915
400;0.375;0.15;2.5;0.1;1;1239
500;0.375;0.15;2.5;0.1;1;1574
600;0.375;0.15;2.5;0.1;1;1909
700;0.375;0.15;2.5;0.1;1;2254
800;0.375;0.15;2.5;0.1;1;2598
30;0.375;0.15;2.5;0.1;0.5;87
50;0.375;0.15;2.5;0.1;0.5;142
100;0.375;0.15;2.5;0.1;0.5;291
200;0.375;0.15;2.5;0.1;0.5;594
300;0.375;0.15;2.5;0.1;0.5;911
400;0.375;0.15;2.5;0.1;0.5;1231
500;0.375;0.15;2.5;0.1;0.5;1558
600;0.375;0.15;2.5;0.1;0.5;1884
700;0.375;0.15;2.5;0.1;0.5;2215
800;0.375;0.15;2.5;0.1;0.5;2544
30;0.375;0.15;2.5;0.1;0;87
50;0.375;0.15;2.5;0.1;0;142
100;0.375;0.15;2.5;0.1;0;290
200;0.375;0.15;2.5;0.1;0;592
300;0.375;0.15;2.5;0.1;0;908
400;0.375;0.15;2.5;0.1;0;1227
500;0.375;0.15;2.5;0.1;0;1555
600;0.375;0.15;2.5;0.1;0;1881
700;0.375;0.15;2.5;0.1;0;2214
800;0.375;0.15;2.5;0.1;0;2544
30;1.5;0.15;10;0.1;1;152
50;1.5;0.15;10;0.1;1;248
100;1.5;0.15;10;0.1;1;507
200;1.5;0.15;10;0.1;1;1042
300;1.5;0.15;10;0.1;1;1616
400;1.5;0.15;10;0.1;1;2207
500;1.5;0.15;10;0.1;1;2824
600;1.5;0.15;10;0.1;1;3445
700;1.5;0.15;10;0.1;1;4086
800;1.5;0.15;10;0.1;1;4725
30;1.5;0.15;10;0.1;0.5;152
50;1.5;0.15;10;0.1;0.5;247
100;1.5;0.15;10;0.1;0.5;507
200;1.5;0.15;10;0.1;0.5;1040
300;1.5;0.15;10;0.1;0.5;1615
400;1.5;0.15;10;0.1;0.5;2207
500;1.5;0.15;10;0.1;0.5;2826
600;1.5;0.15;10;0.1;0.5;3452
700;1.5;0.15;10;0.1;0.5;4097
800;1.5;0.15;10;0.1;0.5;4743
30;1.5;0.15;10;0.1;0;152
50;1.5;0.15;10;0.1;0;247
100;1.5;0.15;10;0.1;0;506
200;1.5;0.15;10;0.1;0;1036
300;1.5;0.15;10;0.1;0;1607
400;1.5;0.15;10;0.1;0;2195
500;1.5;0.15;10;0.1;0;2811
600;1.5;0.15;10;0.1;0;3434
700;1.5;0.15;10;0.1;0;4077
800;1.5;0.15;10;0.1;0;4723
30;2.25;0.15;15;0.1;1;196
50;2.25;0.15;15;0.1;1;319
100;2.25;0.15;15;0.1;1;653
